id,name,url,type,user_submission_comment,crawler_id,snapshot_freq,status
N1,中国台湾网,http://www.taiwan.cn/,官媒,,,,
N2,密訊,http://www.mission-tw.com/mission,內容農場,,,,
N3,琦琦看新聞,http://www.qiqi.world/,內容農場,,,,
N4,琦琦看新聞,http://77s.today,內容農場,,,,404
N5,琦琦看新聞,http://i77.today,內容農場,,,,No content
N6,琦琦看新聞,http://cnba.live,內容農場,,,,
N7,琦琦看新聞,http://defense.rocks,內容農場,,,,404
N8,琦琦看新聞,http://qiqi.today,內容農場,,,,
N9,看頭條,http://fafa01.com,內容農場,,,,
N10,讚新聞,http://hssszn.com,內容農場,,,,
N11,鬼島狂新聞,http://taiwan-politicalnews.com,內容農場,,,,
N12,鬼島狂新聞,http://taiwan-madnews.com,內容農場,,,,Identical to N11
N13,怒吼,http://nooho.net,內容農場,,,,
N14,海峽飛虹,http://www.itaiwannews.cn/,官媒,,,,
N15,今日頭條,https://www.toutiao.com/,內容農場,,,,
N16,中華全國台灣同胞聯誼會,http://tailian.taiwan.cn/,組織官網,,,,Redirect to tailian.org.cn
N17,台灣媽祖聯誼會,https://www.taiwanmazu.org/,組織官網,,,,
F1,青天白日正義力量,https://www.facebook.com/%E9%9D%92%E5%A4%A9%E7%99%BD%E6%97%A5%E6%AD%A3%E7%BE%A9%E5%8A%9B%E9%87%8F-1006889099430655/,Fb 專頁,,,,
F2,反蔡英文聯盟－全國民怨嗆蔡總部,https://www.facebook.com/%E5%8F%8D%E8%94%A1%E8%8B%B1%E6%96%87%E8%81%AF%E7%9B%9F%E5%85%A8%E5%9C%8B%E6%B0%91%E6%80%A8%E5%97%86%E8%94%A1%E7%B8%BD%E9%83%A8-1566024720346478/,Fb 專頁,,,,
F3,走，一起去看世界！,https://www.facebook.com/aroundtheworld01/,Fb 專頁,,,,
F4,Hssszn 讚新聞,https://www.facebook.com/hssszn/,Fb 專頁,,,,
F5,讚能量生活報,https://www.facebook.com/thumbsuplifenews/,Fb 專頁,,,,
F6,人生笑著走,https://www.facebook.com/%E4%BA%BA%E7%94%9F%E7%AC%91%E8%91%97%E8%B5%B0-1958092751106755/,Fb 專頁,,,,
F7,人生正能量,https://www.facebook.com/%E4%BA%BA%E7%94%9F%E6%AD%A3%E8%83%BD%E9%87%8F-1349834938455966/,Fb 專頁,,,,
F8,芒果新聞台,https://www.facebook.com/imangonews/,Fb 專頁,,,,
F9,旅行‧電影‧愛音樂,https://www.facebook.com/travelmoviemusic/,Fb 專頁,,,,
F10,萌寵小天使,https://www.facebook.com/dogcat101300/,Fb 專頁,,,,
F11,琦琦看新聞,https://www.facebook.com/qiqi.news/,Fb 專頁,,,,
F12,貓貓最可愛我超愛！,https://www.facebook.com/catssssssssssssss/,Fb 專頁,,,,
F13,反綠救國人人有責,https://www.facebook.com/kmtdppisshit/,Fb 專頁,,,,
F14,天南地北,https://www.facebook.com/%E5%A4%A9%E5%8D%97%E5%9C%B0%E5%8C%97-1063653903655415/,Fb 專頁,,,,
F15,全球華人聯盟總主頁,https://www.facebook.com/GlobalChineseAlliance/,Fb 專頁,,,,
F16,按贊福氣到,https://www.facebook.com/fuqidao168/,Fb 專頁,,,,
F17,守護台灣聯盟,https://www.facebook.com/taiwan1314520/,Fb 專頁,,,,
F18,靠北時事,https://www.facebook.com/%E9%9D%A0%E5%8C%97%E6%99%82%E4%BA%8B-165534787282102/,Fb 專頁,,,,
F19,討厭民進黨,https://www.facebook.com/%E8%A8%8E%E5%8E%AD%E6%B0%91%E9%80%B2%E9%BB%A8-504021696772145/,Fb 專頁,,,,
F20,全球華人盛世聯盟,https://www.facebook.com/shengser/,Fb 專頁,,,,
F21,大中華大平台,https://www.facebook.com/bigchinalove/,Fb 專頁,,,,
F22,靠北民進黨,https://www.facebook.com/%E9%9D%A0%E5%8C%97%E6%B0%91%E9%80%B2%E9%BB%A8-454656575008713/,Fb 專頁,,,,
F23,文青工作會,https://www.facebook.com/%E6%96%87%E9%9D%92%E5%B7%A5%E4%BD%9C%E6%9C%83-510052339062419/,Fb 專頁,,,,
F24,靠北民進黨,https://www.facebook.com/grumbledpp/,Fb 專頁,,,,
F25,民間大小事,https://www.facebook.com/johncelayo/,Fb 專頁,,,,
F26,罷免民進黨,https://www.facebook.com/%E7%BD%B7%E5%85%8D%E6%B0%91%E9%80%B2%E9%BB%A8-2129370967290567/,Fb 專頁,,,,
F27,反民進黨粉絲團,https://www.facebook.com/getoutdpp/,Fb 專頁,,,,
F28,爱烘培，爱料理，爱健康,https://www.facebook.com/lovebakinglovehealthy/,Fb 專頁,,,,
F29,鬼島狂新聞,https://www.facebook.com/GhostIslandNews/,Fb 專頁,,,,
F30,鬼島亂爆,https://www.facebook.com/Islandofghost/,Fb 專頁,,,,
F31,全球華人軍事聯盟,https://www.facebook.com/cbcarmy/,Fb 專頁,,,,
F32,全球華人歷史文化聯盟,https://www.facebook.com/GlobalChineselove/,Fb 專頁,,,,
F33,全球華人資訊聯盟,https://www.facebook.com/globalchinesenewsunion/,Fb 專頁,,,,
F34,全球華人鐵血聯盟,https://www.facebook.com/GCAironbloodarmy/,Fb 專頁,,,,
F35,世界華人歷史會社,https://www.facebook.com/LIKEHISTORYWORLD/,Fb 專頁,,,,
F36,藍色正義力量,https://www.facebook.com/%E8%97%8D%E8%89%B2%E6%AD%A3%E7%BE%A9%E5%8A%9B%E9%87%8F-1100522356652838/,Fb 專頁,,,,
F37,幹譙民進黨,https://www.facebook.com/inability.dpp/,Fb 專頁,,,,
F38,祝福天天圍繞你,https://www.facebook.com/blesseverydayaroundyou/,Fb 專頁,,,,
F39,【ღ 摩羯座 ღ】,https://www.facebook.com/CapricornStory4U/,Fb 專頁,,,,
F40,蔡英文下台罪狀集結總部,https://www.facebook.com/%E8%94%A1%E8%8B%B1%E6%96%87%E4%B8%8B%E5%8F%B0%E7%BD%AA%E7%8B%80%E9%9B%86%E7%B5%90%E7%B8%BD%E9%83%A8-121570255108696/,Fb 專頁,,,,
F41,祝福天天圍繞你,https://www.facebook.com/blesseverydayaroundyou/,Fb 專頁,,,,
F42,話說，那些編造的事,https://www.facebook.com/%E8%A9%B1%E8%AA%AA%E9%82%A3%E4%BA%9B%E7%B7%A8%E9%80%A0%E7%9A%84%E4%BA%8B-304688810020434/,Fb 專頁,,,,
F43,Gy娛樂看板,https://www.facebook.com/Gyhappyboard/,Fb 專頁,,,,
F44,昏官惡狼圍剿社團²,https://www.facebook.com/CTTATTACK/,Fb 專頁,,,,
F45,反蔡英文粉絲團,https://www.facebook.com/%E5%8F%8D%E8%94%A1%E8%8B%B1%E6%96%87%E7%B2%89%E7%B5%B2%E5%9C%98-257062087822640/,Fb 專頁,,,,
F46,統一中國/中國統一  /  统一中国/中国统一,https://www.facebook.com/%E7%B5%B1%E4%B8%80%E4%B8%AD%E5%9C%8B%E4%B8%AD%E5%9C%8B%E7%B5%B1%E4%B8%80-%E7%BB%9F%E4%B8%80%E4%B8%AD%E5%9B%BD%E4%B8%AD%E5%9B%BD%E7%BB%9F%E4%B8%80-1403317033298680/,Fb 專頁,,,,
F47,韓家軍鐵粉聯盟,https://www.facebook.com/%E9%9F%93%E5%AE%B6%E8%BB%8D%E9%90%B5%E7%B2%89%E8%81%AF%E7%9B%9F-837868789721803/,Fb 專頁,,,,
F48,中道  台灣,https://www.facebook.com/TaiwanNeutra/,Fb 專頁,,,,
F49,同性戀光盟,https://www.facebook.com/jesusSavesF13/,Fb 專頁,,,,
F50,黑特來了,https://www.facebook.com/HaterIsHere/,Fb 專頁,,,,
F51,臉書航空站,https://www.facebook.com/world.tw/,Fb 專頁,,,,
F52,一帆風順,https://www.facebook.com/yifanfengshun888/,Fb 專頁,,,,
F53,旅行．美景．看世界！,https://www.facebook.com/traveltheworld168/,Fb 專頁,,,,
F54,歡樂世界,https://www.facebook.com/happyworld88,Fb 專頁,,,,
F55,中國國民黨三民主義青年團,https://www.facebook.com/ZhongHuaYRM/,Fb 專頁,,,,
F56,語錄、生活、時事,https://www.facebook.com/Quotations.life168/,Fb 專頁,,,,
F57,桃園市國民學堂,https://www.facebook.com/KMTTCC/,Fb 專頁,,,,
F58,一起追劇吧,https://www.facebook.com/%E4%B8%80%E8%B5%B7%E8%BF%BD%E5%8A%87%E5%90%A7-2407159445968433/,Fb 專頁,,,,
F59,廟會直播網,https://www.facebook.com/Templelivenetwork/,Fb 專頁,,,,
F60,知行,https://www.facebook.com/knowledge.practice.studio/,Fb 專頁,,,,
F61,台灣人中國心,https://www.facebook.com/groups/1148919035153224/,Fb 公開社團,,,,
F62,青年公社,https://www.facebook.com/youth86/,Fb 專頁,,,,
F63,今日海峽,https://www.facebook.com/straitstoday/,Fb 專頁,,,,
F64,神力女超人挺藍粉絲團,https://www.facebook.com/groups/768267203515635/,Fb 公開社團,,,,
F65,韓國瑜選總統全國後援會(韓家軍),https://www.facebook.com/groups/389408621877306/,Fb 公開社團,,,,
F66,韓國瑜 高雄拚經濟/愛情產業鏈,https://www.facebook.com/groups/488305761638330/,Fb 公開社團,,,,
F67,支持韓國瑜  選2020年總統,https://www.facebook.com/groups/2072874742809044/,Fb 公開社團,,,,
F68,韓家軍,https://www.facebook.com/groups/391568921608431/,Fb 公開社團,,,,
F69,韓國瑜鐵粉後援會,https://www.facebook.com/groups/260112827997606/,Fb 公開社團,,,,
F70,周錫瑋,https://www.facebook.com/hsiweiC/,Fb 專頁,,,,
F71,許淑華,https://www.facebook.com/%E8%A8%B1%E6%B7%91%E8%8F%AF-130771133668155/,Fb 專頁,,,,
F72,韓國瑜,https://www.facebook.com/twherohan/,Fb 專頁,,,,
F73,強強滾,https://www.facebook.com/%E5%BC%B7%E5%BC%B7%E6%BB%BE%E5%A4%A7%E5%93%A5-%E9%98%BF%E8%AA%8C-1088027454701943/?__tn__=%2Cd%2CP-R&eid=ARBiDxJohZf5_icvMw2BXVNG2nHG4VR9b_ArA_Tc6PfA98MtdnGw1xVKWvIdE-X1wfSteOnhr6PxVDUX,Fb 專頁,,,,
F74,高雄林小姐,https://www.facebook.com/pg/KSMissLin/groups/?referrer=pages_groups_card_cta&ref=page_internal,Fb 專頁,,,,
F75,陳清茂直播平台,https://www.facebook.com/Colorlessrise/,Fb 專頁,,,,
F76,杏仁哥,https://www.facebook.com/almondbrother/,Fb 專頁,,,,
F77,貼紙哥阿豪,https://www.facebook.com/znk168/,Fb 專頁,,,,
F78,文山伯虱目魚,https://www.facebook.com/search/top/?q=%E6%96%87%E5%B1%B1%E4%BC%AF&epa=SEARCH_BOX,Fb 專頁,,,,
N18,呷新聞,https://www.eatnews.net/,新聞網站,,,,
F79,呷新聞,https://www.facebook.com/eatnews/,Fb 專頁,,,,
P1,Ptt 八卦版,https://www.ptt.cc/bbs/Gossiping/index.html,Ptt 看板,,,,
P2,Ptt 政黑版,https://www.ptt.cc/bbs/HatePolitics/index.html,Ptt 看板,,,,
N19,中時電子報,https://www.chinatimes.com/,新聞網站,,,,
N20,東森新聞,https://news.ebc.net.tw/,新聞網站,,,,
N21,ETtoday 新聞雲,https://www.ettoday.net/,新聞網站,,,,
N22,蘋果新聞網,https://tw.appledaily.com/,新聞網站,,,,
N23,蘋果即時,https://tw.appledaily.com/new/realtime,新聞網站,,,,
N24,聯合新聞網,https://udn.com/,新聞網站,,,,
N25,自由時報,http://news.ltn.com.tw/,新聞網站,,,,
N26,中央社,https://www.cna.com.tw/,新聞網站,,,,
N27,芋傳媒,https://taronews.tw/,新聞網站,,,,
Y1,中国东南卫视,https://www.youtube.com/channel/UCN2e8dLY9KnH-B15LyBM7Fg,YouTube 頻道,,,,
Y2,中天新聞,https://www.youtube.com/channel/UCpu3bemTQwAU8PqM4kJdoEQ,YouTube 頻道,,,,
Y3,TVBS,https://www.youtube.com/channel/UCLZBXiS9ZrIXgKBs_SMfGBQ,YouTube 帳號,,,,
Y4,TVBS 優選頻道,https://www.youtube.com/channel/UCmgDmqjxbkqIXu4rNbrKodA,YouTube 頻道,,,,
Y5,少康戰情室,https://www.youtube.com/channel/UCLZBXiS9ZrIXgKBs_SMfGBQ,YouTube 頻道,,,,
