id,name,url,article,following
N1,中国台湾网,http://www.taiwan.cn/,^http://www.taiwan.cn/([\w]+)/([\w]+)/[0-9]{6}/t(.*)\.htm$,
N2,密訊,http://www.mission-tw.com/mission,/mission/article/,/mission/category/
N6,琦琦看新聞,http://cnba.live,/show/(.*)$,/?page=[0-9]*\&per-page=24$
N8,琦琦看新聞,http://qiqi.today,/show/(.*)$,/?page=[0-9]*\&per-page=24$
N9,看頭條,http://fafa01.com,/post([0-9]*)$,
N10,讚新聞,http://hssszn.com,/archives/([0-9]+)$,/page/([0-9]+); /category/(.*)
N11,鬼島狂新聞,http://taiwan-politicalnews.com,,
N12,鬼島狂新聞,http://taiwan-madnews.com,,
N13,怒吼,http://nooho.net,^https://nooho.net/([0-9]{4})/[0-9]{2}/(.*)/$,/page/([0-9]+)/$
N14,海峽飛虹,http://www.itaiwannews.cn/,/[0-9]{4}-[0-9]{2}-[0-9]{2}/(.*)\.html$,
N15,今日頭條,https://www.toutiao.com/,,
N16,中華全國台灣同胞聯誼會,http://tailian.taiwan.cn/,http://tailian.org.cn/([\w]+)/(\d+)/t(.*)\.htm$,http://tailian.org.cn/([\w]+)/$
N17,台灣媽祖聯誼會,https://www.taiwanmazu.org/,,
N19,中時電子報,https://www.chinatimes.com/,,
N20,東森新聞,https://news.ebc.net.tw/,,
N21,ETtoday 新聞雲,https://www.ettoday.net/,,
N22,蘋果新聞網,https://tw.appledaily.com/,,
N23,蘋果即時,https://tw.appledaily.com/new/realtime,,
N24,聯合新聞網,https://udn.com/,,
N25,自由時報,http://news.ltn.com.tw/,,
N26,中央社,https://www.cna.com.tw/,,
N27,芋傳媒,https://taronews.tw/,^https://taronews.tw/([0-9]{4})/[0-9]+/[0-9]+/[0-9]+/$,/category/world; /category/politics/